,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1005,1,3,1,1,2016.0,5.0,1,13,3.4,25.17,799.0,1,10.277943473769948
1006,1,3,3,1,2016.0,5.0,3,1,3.66,23.1,998.0,1,11.148175145635989
1007,1,4,2,1,2009.0,5.0,2,4,3.0,12.8,2354.0,1,11.156250521031495
1008,1,3,3,1,2013.0,5.0,3,1,3.68,22.38,1197.0,1,11.386477496981918
1009,1,4,2,1,2011.0,5.0,2,15,3.46,15.04,1598.0,1,11.49540283650021
1010,1,3,2,1,2016.0,5.0,2,4,4.5,18.7,1199.0,1,11.207405234388567
1011,1,3,1,1,2016.0,5.0,1,1,4.5,23.1,998.0,1,10.53789271307231
1012,2,3,1,1,2016.0,5.0,1,4,5.9,27.3,1498.0,1,11.097864463188618
1013,1,3,1,1,2006.0,5.0,1,3,1.85,17.0,1086.0,1,11.185948009910804
1014,1,6,1,2,2017.0,4.0,1,24,82.0,18.0,1969.0,1,10.46310334047155
1015,1,4,1,1,2008.0,5.0,1,4,2.0,17.0,1497.0,1,11.512925464970229
1016,1,3,1,1,2013.0,5.0,1,3,3.0,18.9,1197.0,1,9.210340371976184
1017,1,3,1,1,2010.0,5.0,1,1,1.5,21.1,1197.0,1,9.903487552536127
1019,1,3,4,1,2014.0,5.0,4,18,1.8,15.7,1172.0,1,11.407564949312402
1020,1,3,1,2,2020.0,5.0,1,10,8.43,19.56,1197.0,1,10.935211895662606
1021,1,3,1,1,2012.0,5.0,1,3,3.0,20.36,1197.0,1,11.4507095777623
1022,1,3,1,1,2021.0,5.0,1,3,5.6,20.7,1197.0,1,10.308952660644293
1023,1,3,2,1,2020.0,5.0,2,15,7.44,17.74,999.0,1,10.630166216304866
1024,1,4,2,2,2013.0,5.0,2,4,4.19,16.8,1497.0,1,11.598166943279493
1025,1,5,1,2,2022.0,7.0,1,10,26.55,8.0,2694.0,1,8.837708781126704
1026,1,2,1,1,2020.0,5.0,1,17,13.69,16.8,1497.0,1,10.479791880329213
1028,1,3,1,1,2016.0,5.0,1,3,3.8,19.81,1086.0,1,10.633785998726866
1029,1,5,1,1,2021.0,7.0,1,13,6.61,20.0,999.0,1,10.237277623937402
1030,1,4,1,2,2022.0,5.0,1,21,20.0,18.41,1498.0,1,9.210340371976184
1031,1,2,2,1,2017.0,6.0,2,12,3.2,18.15,1198.0,1,10.596634733096073
