Fuel_Type,Body_Type,Kilometers_Driven,Transmission,Owner_Count,Brand,model,Model_Year,Location,mileage,Number_of_Seats
Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,Bangalore,23.1,5.0
Petrol,SUV,32706.0,Manual,2,Ford,Ford Ecosport,2018,Bangalore,17.0,5.0
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Petrol,Sedan,17794.0,Manual,1,Hyundai,Hyundai Xcent,2014,Bangalore,19.1,5.0
Diesel,SUV,60000.0,Manual,1,Maruti,Maruti SX4 S Cross,2015,Bangalore,23.65,5.0
Petrol,Hatchback,37772.0,Manual,1,Datsun,Datsun GO,2017,Bangalore,20.63,5.0
Petrol,SUV,30000.0,Automatic,1,Hyundai,Hyundai Venue,2021,Bangalore,18.15,5.0
Petrol,Sedan,37000.0,Automatic,1,Maruti,Maruti Ciaz,2018,Bangalore,20.28,5.0
Petrol,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2017,Bangalore,23.84,5.0
Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Baleno,2018,Bangalore,21.4,5.0
Petrol,Hatchback,24887.0,Automatic,1,Hyundai,Hyundai Grand i10,2019,Bangalore,18.9,5.0
Petrol,Hatchback,23000.0,Automatic,1,Honda,Honda Jazz,2018,Bangalore,18.2,5.0
Petrol,Hatchback,48928.0,Automatic,1,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Diesel,SUV,108862.0,Manual,3,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Diesel,SUV,80000.0,Manual,1,Jeep,Jeep Compass,2018,Bangalore,17.1,5.0
Diesel,Hatchback,65376.0,Manual,2,Hyundai,Hyundai i20,2014,Bangalore,21.27,5.0
Petrol,SUV,10000.0,Manual,1,Tata,Tata Nexon,2022,Bangalore,17.33,5.0
Petrol,Sedan,67000.0,Manual,2,Honda,Honda City,2016,Bangalore,17.8,5.0
Petrol,Hatchback,18083.0,Manual,1,Maruti,Maruti Swift,2016,Bangalore,22.38,5.0
Petrol,SUV,30000.0,Manual,1,Renault,Renault Duster,2020,Bangalore,16.42,5.0
Petrol,Hatchback,57634.0,Manual,2,Tata,Tata Tiago,2016,Bangalore,23.84,5.0
Petrol,Sedan,110000.0,Manual,1,Honda,Honda City,2015,Bangalore,17.4,5.0
Petrol,Hatchback,23447.0,Automatic,1,Hyundai,Hyundai Santro,2018,Bangalore,20.3,5.0
Lpg,Hatchback,30000.0,Manual,2,Hyundai,Hyundai Santro Xing,2009,Bangalore,13.45,5.0
Diesel,SUV,87667.0,Manual,2,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Diesel,SUV,79012.0,Manual,2,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Petrol,Sedan,50000.0,Manual,1,Hyundai,Hyundai Xcent,2018,Bangalore,20.14,5.0
Petrol,Hatchback,12434.0,Manual,1,Maruti,Maruti Wagon R,2015,Bangalore,20.51,5.0
Petrol,MUV,60000.0,Manual,2,Maruti,Maruti Ertiga,2019,Bangalore,19.34,7.0
Petrol,Hatchback,40987.0,Manual,2,Maruti,Maruti Wagon R,2015,Bangalore,20.51,5.0
Diesel,SUV,120000.0,Manual,3,Toyota,Toyota Fortuner,2011,Bangalore,11.5,7.0
Diesel,SUV,40000.0,Automatic,2,Renault,Renault Duster,2020,Bangalore,19.87,5.0
Petrol,Hatchback,89667.0,Manual,1,Hyundai,Hyundai i20,2016,Bangalore,18.6,5.0
Diesel,Hatchback,120000.0,Manual,1,Hyundai,Hyundai i20,2017,Bangalore,22.54,5.0
Petrol,Hatchback,56997.0,Manual,1,Maruti,Maruti Baleno,2017,Bangalore,21.4,5.0
Petrol,Sedan,120000.0,Manual,1,Hyundai,Hyundai Elantra,2013,Bangalore,16.3,5.0
Petrol,Hatchback,18835.0,Manual,1,Maruti,Maruti Alto 800,2021,Bangalore,22.05,5.0
Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,2010,Bangalore,12.05,7.0
Petrol,Hatchback,60932.0,Manual,1,Tata,Tata Tiago,2019,Bangalore,23.84,5.0
Petrol,SUV,33539.0,Automatic,2,Kia,Kia Seltos,2020,Bangalore,16.5,5.0
Petrol,Hatchback,66837.0,Manual,2,Tata,Tata Tiago,2018,Bangalore,23.84,5.0
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Alto,2008,Bangalore,19.7,5.0
Petrol,Hatchback,44285.0,Manual,1,Hyundai,Hyundai i20,2019,Bangalore,18.6,5.0
Petrol,Hatchback,36735.0,Manual,1,Hyundai,Hyundai Grand i10,2018,Bangalore,18.9,5.0
Diesel,SUV,120000.0,Manual,2,Mahindra,Mahindra Scorpio,2010,Bangalore,12.05,8.0
Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,2022,Bangalore,22.0,5.0
Diesel,SUV,53645.0,Manual,1,Tata,Tata Nexon,2018,Bangalore,21.5,5.0
Petrol,Hatchback,100000.0,Manual,2,Hyundai,Hyundai Getz,2006,Bangalore,15.3,5.0
Petrol,Hatchback,53982.0,Automatic,1,Maruti,Maruti Celerio,2014,Bangalore,26.68,5.0
Diesel,Sedan,110000.0,Manual,1,Skoda,Skoda Rapid,2014,Bangalore,21.14,5.0
Petrol,SUV,37741.0,Manual,2,Ford,Ford Ecosport,2019,Bangalore,15.9,5.0
Petrol,Hatchback,17367.0,Manual,1,Maruti,Maruti Alto 800,2021,Bangalore,22.05,5.0
Diesel,SUV,94000.0,Manual,1,Hyundai,Hyundai Creta,2017,Bangalore,19.67,5.0
Petrol,Hatchback,54601.0,Manual,3,Maruti,Maruti Swift,2014,Bangalore,22.38,5.0
Diesel,Hatchback,110000.0,Manual,1,Maruti,Maruti Swift,2018,Bangalore,28.4,5.0
Petrol,Hatchback,64000.0,Manual,2,Maruti,Maruti Celerio,2017,Bangalore,23.1,5.0
Diesel,Sedan,100000.0,Manual,1,Maruti,Maruti Ciaz,2015,Bangalore,26.21,5.0
Petrol,Hatchback,44154.0,Automatic,2,Honda,Honda Jazz,2016,Bangalore,19.0,5.0
Diesel,MUV,70000.0,Manual,1,Renault,Renault Lodgy,2016,Bangalore,19.98,7.0
Petrol,Hatchback,68039.0,Manual,2,Tata,Tata Tiago,2017,Bangalore,23.84,5.0
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,2014,Bangalore,18.5,5.0
Petrol,Hatchback,60000.0,Manual,2,Maruti,Maruti Ritz,2014,Bangalore,18.5,5.0
Petrol,Hatchback,10000.0,Manual,1,Hyundai,Hyundai i20,2021,Bangalore,20.0,5.0
Petrol,Sedan,49873.0,Manual,1,Honda,Honda City,2013,Bangalore,16.8,5.0
Petrol,Hatchback,90000.0,Automatic,3,Volkswagen,Volkswagen Polo,2013,Bangalore,17.2,5.0
Diesel,Sedan,48960.0,Manual,2,Skoda,Skoda Rapid,2017,Bangalore,21.13,5.0
Diesel,Hatchback,70000.0,Manual,2,Hyundai,Hyundai Grand i10,2014,Bangalore,24.0,5.0
Petrol,Hatchback,68000.0,Manual,2,Hyundai,Hyundai i20,2013,Bangalore,18.5,5.0
Diesel,SUV,23017.0,Manual,1,Mahindra,Mahindra KUV 100,2016,Bangalore,25.32,6.0
Diesel,Hatchback,83000.0,Manual,2,Hyundai,Hyundai i20,2013,Bangalore,21.27,5.0
Petrol,Hatchback,62139.0,Manual,1,Maruti,Maruti Wagon R,2018,Bangalore,20.51,5.0
Lpg,Hatchback,74000.0,Manual,1,Hyundai,Hyundai i10,2013,Bangalore,19.2,5.0
Petrol,Hatchback,26500.0,Automatic,2,Renault,Renault KWID,2016,Bangalore,24.04,5.0
Petrol,SUV,10000.0,Automatic,1,Mahindra,Mahindra XUV300,2022,Bangalore,17.0,5.0
Petrol,Hatchback,38197.0,Manual,1,Honda,Honda Brio,2013,Bangalore,19.4,5.0
Petrol,Hatchback,23000.0,Automatic,2,Maruti,Maruti Baleno,2017,Bangalore,19.56,5.0
Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Alto K10,2013,Bangalore,20.92,5.0
Petrol,SUV,10000.0,Automatic,1,Renault,Renault Kiger,2022,Bangalore,19.03,5.0
Petrol,Hatchback,19000.0,Manual,1,Hyundai,Hyundai Grand i10,2019,Bangalore,18.9,5.0
Petrol,SUV,14000.0,Automatic,1,Kia,Kia Seltos,2020,Bangalore,16.5,5.0
Petrol,Hatchback,29268.0,Manual,1,Hyundai,Hyundai EON,2014,Bangalore,21.1,5.0
Petrol,Sedan,20000.0,Automatic,1,Volkswagen,Volkswagen Vento,2019,Bangalore,18.19,5.0
Petrol,Sedan,30000.0,Manual,1,Toyota,Toyota Yaris,2018,Bangalore,17.1,5.0
Diesel,SUV,30000.0,Manual,1,MG,MG Hector,2021,Bangalore,17.41,5.0
Petrol,Hatchback,43679.0,Manual,1,Hyundai,Hyundai i10,2010,Bangalore,19.81,5.0
Petrol,SUV,40000.0,Automatic,1,Hyundai,Hyundai Creta,2018,Bangalore,14.8,5.0
Diesel,Hatchback,40562.0,Manual,1,Hyundai,Hyundai i20,2012,Bangalore,22.54,5.0
Petrol,SUV,26500.0,Automatic,2,Hyundai,Hyundai Creta,2021,Bangalore,,5.0
Petrol,SUV,20000.0,Automatic,1,Hyundai,Hyundai Venue,2019,Bangalore,18.15,5.0
Diesel,SUV,58600.0,Automatic,1,Mahindra,Mahindra XUV500,2016,Bangalore,16.0,7.0
Petrol,SUV,20000.0,Automatic,1,Hyundai,Hyundai Venue,2019,Bangalore,18.15,5.0
Petrol,Hatchback,65017.0,Automatic,1,Maruti,Maruti Celerio,2015,Bangalore,23.1,5.0
Diesel,Sedan,80000.0,Automatic,2,BMW,BMW 3 Series,2008,Bangalore,13.2,5.0
Petrol,SUV,20000.0,Automatic,1,Kia,Kia Seltos,2020,Bangalore,16.5,5.0
Petrol,Hatchback,80000.0,Manual,3,Hyundai,Hyundai i10,2009,Bangalore,20.36,5.0
Petrol,Hatchback,80000.0,Manual,3,Hyundai,Hyundai i10,2009,Bangalore,20.36,5.0
Petrol,Hatchback,52204.0,Manual,1,Maruti,Maruti Alto K10,2017,Bangalore,24.39,5.0
Petrol,Hatchback,110000.0,Manual,3,Hyundai,Hyundai i20,2012,Bangalore,17.0,5.0
Petrol,Hatchback,29813.0,Manual,2,Maruti,Maruti Alto 800,2014,Bangalore,22.05,5.0
Petrol,Hatchback,30000.0,Manual,1,Ford,Ford Figo,2018,Bangalore,18.16,5.0
Petrol,Hatchback,13345.0,Automatic,1,Maruti,Maruti Ignis,2020,Bangalore,20.89,5.0
Petrol,Hatchback,75000.0,Manual,1,Hyundai,Hyundai Grand i10,2014,Bangalore,18.9,5.0
Petrol,Hatchback,75523.0,Manual,2,Hyundai,Hyundai i10,2011,Bangalore,20.36,5.0
Diesel,SUV,47000.0,Manual,1,Mahindra,Mahindra XUV500,2015,Bangalore,16.0,7.0
Petrol,MUV,28253.0,Manual,1,Renault,Renault Triber,2020,Bangalore,20.0,7.0
Diesel,SUV,50000.0,Manual,1,Hyundai,Hyundai Creta,2016,Bangalore,19.67,5.0
Petrol,Hatchback,90000.0,Manual,2,Hyundai,Hyundai i10,2010,Bangalore,20.36,5.0
Petrol,Hatchback,52571.0,Manual,1,Hyundai,Hyundai i20,2016,Bangalore,18.6,5.0
Diesel,Sedan,70000.0,Automatic,2,BMW,BMW 3 Series,2010,Bangalore,16.07,5.0
Petrol,Sedan,61993.0,Manual,1,Honda,Honda City,2015,Bangalore,17.4,5.0
Petrol,Hatchback,36359.0,Manual,1,Hyundai,Hyundai i20,2013,Bangalore,18.5,5.0
Diesel,SUV,70000.0,Manual,2,Tata,Tata Harrier,2019,Bangalore,17.0,5.0
Petrol,Sedan,30301.0,Automatic,1,Hyundai,Hyundai Verna,2017,Bangalore,17.0,5.0
Petrol,Hatchback,66000.0,Manual,1,Hyundai,Hyundai i10,2010,Bangalore,20.36,5.0
Petrol,Hatchback,56010.0,Manual,1,Hyundai,Hyundai i20,2017,Bangalore,18.6,5.0
Diesel,SUV,60000.0,Manual,2,Nissan,Nissan Terrano,2014,Bangalore,19.01,5.0
Diesel,Hatchback,83829.0,Manual,1,Maruti,Maruti Swift,2014,Bangalore,25.2,5.0
Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,2020,Bangalore,22.0,5.0
Diesel,SUV,35000.0,Automatic,2,Renault,Renault Duster,2016,Bangalore,19.6,5.0
Petrol,Sedan,51116.0,Automatic,2,Honda,Honda City,2019,Bangalore,18.0,5.0
Diesel,Sedan,80000.0,Manual,3,Skoda,Skoda Rapid,2016,Bangalore,21.14,5.0
Petrol,Hatchback,40000.0,Automatic,2,Volkswagen,Volkswagen Polo,2017,Bangalore,17.21,5.0
Petrol,SUV,85565.0,Automatic,2,Honda,Honda CR-V,2012,Bangalore,11.1,5.0
Petrol,SUV,36916.0,Manual,1,Ford,Ford Ecosport,2018,Bangalore,17.0,5.0
Diesel,Hatchback,90000.0,Manual,1,Volkswagen,Volkswagen Polo,2015,Bangalore,20.14,5.0
Petrol,Hatchback,112795.0,Manual,1,Maruti,Maruti Swift,2012,Bangalore,22.38,5.0
Petrol,MUV,120000.0,Manual,2,Toyota,Toyota Innova,2014,Bangalore,11.4,7.0
Petrol,Hatchback,36685.0,Manual,2,Honda,Honda Brio,2016,Bangalore,19.4,5.0
Diesel,SUV,120000.0,Automatic,2,Hyundai,Hyundai Santa Fe,2012,Bangalore,11.72,7.0
Petrol,Hatchback,32184.0,Automatic,2,Maruti,Maruti Baleno,2019,Bangalore,21.4,5.0
Petrol,Hatchback,32279.0,Manual,1,Maruti,Maruti Baleno RS,2018,Bangalore,21.1,5.0
Petrol,Hatchback,59698.0,Manual,1,Hyundai,Hyundai i20,2015,Bangalore,18.6,5.0
Diesel,SUV,46071.0,Manual,1,Renault,Renault Captur,2018,Bangalore,20.37,5.0
Diesel,SUV,90000.0,Manual,1,Maruti,Maruti Vitara Brezza,2017,Bangalore,24.3,5.0
Petrol,SUV,9554.0,Manual,1,Hyundai,Hyundai Venue,2019,Bangalore,18.27,5.0
Diesel,SUV,74499.0,Manual,2,Renault,Renault Duster,2013,Bangalore,20.45,5.0
Petrol,SUV,56211.0,Automatic,2,Ford,Ford Ecosport,2017,Bangalore,14.8,5.0
Petrol,Hatchback,9001.0,Manual,1,Honda,Honda Jazz,2019,Bangalore,18.2,5.0
Diesel,SUV,65457.0,Automatic,2,Mahindra,Mahindra XUV500,2017,Bangalore,16.0,7.0
Petrol,Hatchback,23682.0,Manual,1,Honda,Honda Jazz,2017,Bangalore,18.7,5.0
Diesel,Sedan,50000.0,Manual,1,Hyundai,Hyundai Verna,2020,Bangalore,22.0,5.0
Diesel,Hatchback,134557.0,Manual,2,Maruti,Maruti Swift,2015,Bangalore,25.2,5.0
Petrol,Sedan,96567.0,Manual,2,Maruti,Maruti Swift Dzire,2013,Bangalore,22.41,5.0
Petrol,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,Bangalore,23.1,5.0
Diesel,MUV,83007.0,Manual,2,Maruti,Maruti Ertiga,2014,Bangalore,20.77,7.0
Petrol,Hatchback,34000.0,Manual,1,Honda,Honda Jazz,2018,Bangalore,18.7,5.0
Petrol,Hatchback,81634.0,Automatic,1,Hyundai,Hyundai Grand i10,2014,Bangalore,18.9,5.0
Petrol,Sedan,57284.0,Automatic,2,Honda,Honda City,2017,Bangalore,18.0,5.0
Petrol,SUV,70000.0,Automatic,2,Ford,Ford Ecosport,2016,Bangalore,15.63,5.0
Petrol,Hatchback,70000.0,Manual,2,Honda,Honda Brio,2013,Bangalore,19.4,5.0
Petrol,Sedan,46429.0,Automatic,2,Toyota,Toyota Yaris,2018,Bangalore,17.8,5.0
Petrol,Hatchback,17624.0,Manual,1,Maruti,Maruti Baleno,2017,Bangalore,21.4,5.0
Diesel,Sedan,100000.0,Manual,2,Volkswagen,Volkswagen Vento,2012,Bangalore,20.54,5.0
Petrol,Sedan,30000.0,Manual,1,Honda,Honda City,2019,Bangalore,17.4,5.0
Petrol,SUV,49690.0,Manual,2,Ford,Ford Ecosport,2018,Bangalore,15.9,5.0
Diesel,SUV,110000.0,Manual,1,Mahindra,Mahindra XUV500,2016,Bangalore,16.0,7.0
Petrol,Sedan,50000.0,Manual,1,Fiat,Fiat Linea,2009,Bangalore,16.0,5.0
Petrol,Sedan,50000.0,Manual,1,Fiat,Fiat Linea,2009,Bangalore,16.0,5.0
Petrol,SUV,55702.0,Automatic,1,Ford,Ford Ecosport,2018,Bangalore,14.8,5.0
Diesel,Hatchback,45046.0,Manual,1,Hyundai,Hyundai i20 Active,2016,Bangalore,21.19,5.0
Petrol,Hatchback,53000.0,Manual,2,Maruti,Maruti Ritz,2014,Bangalore,18.5,5.0
Diesel,Hatchback,94695.0,Manual,1,Maruti,Maruti Baleno,2016,Bangalore,27.39,5.0
Petrol,Hatchback,22162.0,Manual,1,Maruti,Maruti Baleno,2019,Bangalore,21.4,5.0
Petrol,Hatchback,70000.0,Manual,2,Hyundai,Hyundai Santro Xing,2010,Bangalore,17.92,5.0
Diesel,Sedan,115331.0,Manual,1,Honda,Honda City,2017,Bangalore,26.0,5.0
Diesel,Sedan,70000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,Bangalore,10.0,5.0
Petrol,Hatchback,42233.0,Manual,2,Maruti,Maruti Swift,2016,Bangalore,22.38,5.0
Petrol,Hatchback,20941.0,Manual,1,Hyundai,Hyundai Grand i10,2019,Bangalore,18.9,5.0
Diesel,SUV,50000.0,Manual,2,Maruti,Maruti Vitara Brezza,2018,Bangalore,24.3,5.0
Petrol,SUV,46602.0,Manual,1,Honda,Honda WR-V,2018,Bangalore,17.5,5.0
Diesel,SUV,50000.0,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,Bangalore,11.18,7.0
Diesel,Hatchback,104000.0,Manual,2,Maruti,Maruti Swift,2014,Bangalore,25.2,5.0
Diesel,SUV,90000.0,Manual,1,Ford,Ford Ecosport,2018,Bangalore,23.0,5.0
Petrol,Hatchback,50035.0,Manual,1,Maruti,Maruti Baleno,2017,Bangalore,21.4,5.0
Petrol,SUV,80000.0,Manual,1,Tata,Tata Nexon,2021,Bangalore,17.57,5.0
Petrol,Hatchback,90000.0,Manual,2,Hyundai,Hyundai i20,2015,Bangalore,18.6,5.0
Diesel,Sedan,90000.0,Automatic,4,Mercedes-Benz,Mercedes-Benz E-Class,2011,Bangalore,14.21,5.0
Diesel,Sedan,120000.0,Manual,1,Toyota,Toyota Corolla Altis,2011,Bangalore,21.43,5.0
Petrol,Sedan,25170.0,Manual,1,Maruti,Maruti Swift Dzire,2015,Bangalore,22.41,5.0
Petrol,Sedan,25022.0,Manual,1,Maruti,Maruti Ciaz,2021,Bangalore,20.65,5.0
Diesel,Hatchback,100000.0,Manual,2,Maruti,Maruti Swift,2012,Bangalore,22.9,5.0
Petrol,Sedan,26367.0,Manual,1,Maruti,Maruti Ciaz,2020,Bangalore,20.65,5.0
Petrol,Sedan,76567.0,Automatic,2,Hyundai,Hyundai Elantra,2015,Bangalore,14.5,5.0
Diesel,MUV,120000.0,Manual,2,Toyota,Toyota Innova,2013,Bangalore,12.99,7.0
Petrol,Hatchback,36459.0,Automatic,2,Hyundai,Hyundai Grand i10,2015,Bangalore,18.9,5.0
Diesel,SUV,93725.0,Manual,1,Maruti,Maruti SX4 S Cross,2016,Bangalore,23.65,5.0
Petrol,Sedan,115599.0,Automatic,2,Maruti,Maruti Ciaz,2016,Bangalore,19.12,5.0
Petrol,Sedan,43469.0,Manual,1,Maruti,Maruti Swift Dzire,2015,Bangalore,22.41,5.0
Petrol,Sedan,70000.0,Manual,4,Ford,Ford Ikon,2005,Bangalore,13.8,5.0
Diesel,SUV,100000.0,Manual,1,Maruti,Maruti Vitara Brezza,2018,Bangalore,24.3,5.0
Petrol,Sedan,72000.0,Manual,1,Mitsubishi,Mitsubishi Cedia,2008,Bangalore,14.7,5.0
Petrol,Hatchback,40771.0,Manual,2,Volkswagen,Volkswagen Polo,2021,Bangalore,18.24,5.0
Petrol,Hatchback,28000.0,Manual,1,Honda,Honda Jazz,2018,Bangalore,18.7,5.0
Petrol,Hatchback,40000.0,Manual,3,Maruti,Maruti Wagon R,2008,Bangalore,18.9,5.0
Petrol,SUV,26000.0,Automatic,1,Hyundai,Hyundai Venue,2020,Bangalore,18.15,5.0
Petrol,Hatchback,76032.0,Manual,1,Maruti,Maruti Wagon R,2012,Bangalore,18.9,5.0
Petrol,Sedan,113780.0,Manual,1,Maruti,Maruti Ciaz,2018,Bangalore,21.56,5.0
Diesel,SUV,65812.0,Manual,2,Hyundai,Hyundai Venue,2020,Bangalore,23.7,5.0
Petrol,SUV,10000.0,Automatic,1,Skoda,Skoda Kushaq,2022,Bangalore,17.2,5.0
Petrol,Hatchback,39959.0,Manual,1,Maruti,Maruti Baleno,2016,Bangalore,21.4,5.0
Petrol,SUV,10000.0,Automatic,1,Hyundai,Hyundai Alcazar,2022,Bangalore,14.2,7.0
Petrol,Hatchback,65484.0,Manual,3,Maruti,Maruti Alto K10,2016,Bangalore,24.39,5.0
Petrol,Hatchback,49174.0,Manual,1,Maruti,Maruti Baleno,2017,Bangalore,21.4,5.0
Petrol,SUV,20000.0,Manual,1,Volkswagen,Volkswagen Taigun,2022,Bangalore,20.08,5.0
Petrol,Hatchback,50000.0,Manual,1,Hyundai,Hyundai i10,2009,Bangalore,20.36,5.0
Petrol,Sedan,40000.0,Automatic,2,Maruti,Maruti Swift Dzire,2018,Bangalore,22.0,5.0
Petrol,Coupe,50000.0,Automatic,3,BMW,BMW 3 Series,2007,Bangalore,10.9,5.0
Petrol,Hatchback,80000.0,Manual,1,Maruti,Maruti Swift,2020,Bangalore,21.21,5.0
Petrol,SUV,20000.0,Manual,1,MG,MG Astor,2022,Bangalore,15.43,5.0
Cng,Sedan,70000.0,Manual,1,Hyundai,Hyundai Accent,2010,Bangalore,13.2,5.0
Diesel,Sedan,90000.0,Automatic,1,Audi,Audi A4,2014,Bangalore,17.11,5.0
Petrol,Hatchback,40000.0,Manual,1,Renault,Renault KWID,2020,Bangalore,21.74,5.0
Petrol,Hatchback,63797.0,Manual,1,Honda,Honda Jazz,2016,Bangalore,18.7,5.0
Petrol,Hatchback,60216.0,Manual,2,Hyundai,Hyundai Grand i10,2018,Bangalore,18.9,5.0
Petrol,Hatchback,10000.0,Automatic,2,Maruti,Maruti Alto K10,2015,Bangalore,23.95,5.0
Petrol,Hatchback,38153.0,Manual,1,Maruti,Maruti Baleno,2016,Bangalore,21.4,5.0
Petrol,Hatchback,76485.0,Manual,1,Maruti,Maruti Swift,2015,Bangalore,22.38,5.0
Petrol,Hatchback,40000.0,Manual,2,Maruti,Maruti Wagon R,2015,Bangalore,20.51,5.0
Petrol,Hatchback,40623.0,Manual,1,Maruti,Maruti Baleno,2016,Bangalore,21.4,5.0
Petrol,Hatchback,88051.0,Manual,1,Maruti,Maruti Swift,2014,Bangalore,22.38,5.0
Petrol,Hatchback,16522.0,Manual,1,Maruti,Maruti Swift,2022,Bangalore,22.38,5.0
Diesel,SUV,70000.0,Manual,2,Jeep,Jeep Compass,2019,Bangalore,16.3,5.0
Petrol,Hatchback,80000.0,Manual,3,Maruti,Maruti Wagon R,2008,Bangalore,18.9,5.0
Diesel,SUV,50000.0,Manual,1,Hyundai,Hyundai Venue,2019,Bangalore,23.7,5.0
Petrol,SUV,10000.0,Manual,1,Tata,Tata Nexon,2023,Bangalore,17.33,5.0
Petrol,Hatchback,57000.0,Manual,2,Hyundai,Hyundai EON,2013,Bangalore,21.1,5.0
Diesel,SUV,110000.0,Manual,1,Mahindra,Mahindra XUV500,2016,Bangalore,16.0,7.0
Petrol,Hatchback,10000.0,Manual,1,Maruti,Maruti Baleno,2019,Bangalore,21.4,5.0
Petrol,Hatchback,50000.0,Manual,2,Maruti,Maruti Swift,2012,Bangalore,18.6,5.0
Diesel,SUV,120000.0,Manual,1,Mahindra,Mahindra XUV300,2019,Bangalore,20.0,5.0
Petrol,Hatchback,35469.0,Manual,1,Hyundai,Hyundai Grand i10,2014,Bangalore,18.9,5.0
Petrol,Hatchback,40073.0,Manual,2,Honda,Honda Jazz,2017,Bangalore,18.7,5.0
Petrol,Hatchback,65730.0,Manual,2,Hyundai,Hyundai Grand i10,2017,Bangalore,18.9,5.0
Petrol,Sedan,120000.0,Manual,2,Maruti,Maruti Baleno,2005,Bangalore,15.4,5.0
Petrol,Hatchback,36184.0,Manual,2,Maruti,Maruti Baleno,2016,Bangalore,21.4,5.0
Petrol,Hatchback,69310.0,Manual,1,Maruti,Maruti Baleno,2016,Bangalore,21.4,5.0
Petrol,Sedan,55643.0,Automatic,1,Honda,Honda City,2015,Bangalore,18.0,5.0
Petrol,Hatchback,62803.0,Automatic,2,Hyundai,Hyundai Grand i10,2017,Bangalore,18.9,5.0
Diesel,Hatchback,90000.0,Manual,2,Volkswagen,Volkswagen Polo,2011,Bangalore,22.07,5.0
Petrol,Hatchback,68656.0,Manual,1,Maruti,Maruti Swift,2015,Bangalore,22.38,5.0
Petrol,Hatchback,77501.0,Manual,3,Honda,Honda Jazz,2016,Bangalore,18.7,5.0
Petrol,Sedan,40000.0,Manual,1,Maruti,Maruti Swift Dzire,2016,Bangalore,20.85,5.0
Petrol,Sedan,40000.0,Manual,1,Maruti,Maruti Swift Dzire,2016,Bangalore,20.85,5.0
Petrol,Sedan,48325.0,Automatic,1,Honda,Honda City,2014,Bangalore,18.0,5.0
Petrol,SUV,30000.0,Manual,1,Tata,Tata Nexon,2022,Bangalore,17.57,5.0
Diesel,Hatchback,100000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz B Class,2013,Bangalore,14.8,5.0
Petrol,Hatchback,69000.0,Manual,1,Maruti,Maruti Swift,2015,Bangalore,22.0,5.0
Diesel,SUV,110000.0,Manual,1,Jeep,Jeep Compass,2018,Bangalore,17.1,5.0
Petrol,Sedan,50000.0,Manual,2,Hyundai,Hyundai Verna,2016,Bangalore,17.01,5.0
Petrol,Hatchback,20000.0,Manual,1,Hyundai,Hyundai i20,2021,Bangalore,20.0,5.0
Petrol,Hatchback,14999.0,Automatic,1,Maruti,Maruti Swift,2022,Bangalore,22.56,5.0
Petrol,Hatchback,90773.0,Manual,2,Honda,Honda Jazz,2016,Bangalore,18.7,5.0
Diesel,Sedan,90000.0,Manual,1,Skoda,Skoda Rapid,2012,Bangalore,20.5,5.0
Petrol,Hatchback,64917.0,Manual,2,Maruti,Maruti Swift,2017,Bangalore,20.4,5.0
Petrol,Hatchback,70235.0,Manual,1,Honda,Honda Jazz,2017,Bangalore,18.7,5.0
Petrol,Hatchback,30000.0,Manual,1,Hyundai,Hyundai i20,2021,Bangalore,20.0,5.0
Petrol,Hatchback,78782.0,Manual,1,Honda,Honda Jazz,2016,Bangalore,18.7,5.0
Diesel,SUV,164000.0,Manual,2,Mahindra,Mahindra XUV500,2014,Bangalore,15.1,7.0
Petrol,Sedan,72136.0,Manual,2,Maruti,Maruti Ciaz,2016,Bangalore,20.73,5.0
Petrol,Hatchback,52486.0,Manual,2,Maruti,Maruti Swift,2015,Bangalore,22.38,5.0
Diesel,Sedan,150000.0,Automatic,1,Skoda,Skoda Laura,2007,Bangalore,15.6,5.0
Petrol,SUV,36887.0,Manual,1,Honda,Honda WR-V,2017,Bangalore,17.5,5.0
Petrol,SUV,47962.0,Manual,1,Hyundai,Hyundai Venue,2019,Bangalore,18.27,5.0
Diesel,SUV,135000.0,Manual,1,Nissan,Nissan Terrano,2014,Bangalore,20.45,5.0
Petrol,Sedan,50000.0,Manual,2,Fiat,Fiat Linea,2012,Bangalore,14.6,5.0
